group,stat,value
raw_close,count,7000000.0
raw_close,mean,25674206.24707602
raw_close,std,2160315233.3669467
raw_close,min,0.0
raw_close,p0.1,0.0
raw_close,p1,0.0
raw_close,p5,1.2312
raw_close,p25,10.09
raw_close,p50,33.06
raw_close,p75,83.52
raw_close,p95,362.25
raw_close,p99,15300.0
raw_close,p99.9,20146513.500002213
raw_close,max,334800000000.0
raw_close,zero_frac,0.025235714285714285
raw_close,skew,99.2724084009815
raw_close,kurtosis_excess,10449.596284363995
raw_volume,count,7000000.0
raw_volume,mean,363623.3693930557
raw_volume,std,1273870.335822929
raw_volume,min,0.0
raw_volume,p0.1,0.0
raw_volume,p1,0.0
raw_volume,p5,10.0
raw_volume,p25,14451.0
raw_volume,p50,89412.0
raw_volume,p75,303200.25
raw_volume,p95,1445762.0999999996
raw_volume,p99,4325528.0
raw_volume,p99.9,14536286.355000222
raw_volume,max,506424000.0
raw_volume,zero_frac,0.02893357142857143
raw_volume,skew,43.05732396110599
raw_volume,kurtosis_excess,7537.521760671794
close_log_return,count,7000000.0
close_log_return,mean,1.474487029741756e-05
close_log_return,std,0.0169490785628544
close_log_return,min,-4.621299565234614
close_log_return,p0.1,-0.09314434118752765
close_log_return,p1,-0.0373177630058024
close_log_return,p5,-0.0146845516828133
close_log_return,p25,-0.00160807203603245
close_log_return,p50,0.0
close_log_return,p75,0.001569306855506075
close_log_return,p95,0.0145169161047847
close_log_return,p99,0.038193404285113135
close_log_return,p99.9,0.10122154976458403
close_log_return,max,4.565564931015264
close_log_return,zero_frac,0.36738914285714286
close_log_return,skew,3.878406244982415
close_log_return,kurtosis_excess,13819.72729945696
volume_log_change,count,7000000.0
volume_log_change,mean,0.0035401088923416027
volume_log_change,std,1.3289781173504205
volume_log_change,min,-38.37668579740002
volume_log_change,p0.1,-5.469114915851051
volume_log_change,p1,-2.167910189666563
volume_log_change,p5,-1.0328343981533652
volume_log_change,p25,-0.18750674092951924
volume_log_change,p50,0.0
volume_log_change,p75,0.18689647541246843
volume_log_change,p95,1.0270749768482204
volume_log_change,p99,2.277640523697948
volume_log_change,p99.9,6.505515860887282
volume_log_change,max,40.591735209113416
volume_log_change,zero_frac,0.34326685714285715
volume_log_change,skew,0.44372030904645465
volume_log_change,kurtosis_excess,326.77209813177484
