symbol,first_close,last_close,total_log_return,close_min,close_max,price_range_ratio,logret_mean,logret_std,logret_abs_mean,logret_zero_frac,volume_sum,volume_nonzero_frac,volume_max
KMB,115.81,108.84,-0.06207200328124068,96.32,159.805,0.5481823676711857,-2.1772010972009456e-06,0.0040849857071322965,0.0020513431190540016,0.3202034373903893,7780262290.0,1.0,16703397.0
CL,69.19,96.28,0.33040426940415146,57.79,109.2,0.7430264489088019,1.1589065920860471e-05,0.003768296532751175,0.001906607718593251,0.3236057523675903,15570704652.0,1.0,6366826.0
VZ,47.17,49.31,0.044368802939864393,30.38,62.1163,0.6728068687725249,1.5562540490972389e-06,0.0039896901399408425,0.001981840681065204,0.3251139950894423,65736839344.0,1.0,40058396.0
PEP,95.1,168.705,0.5732226579727502,89.68,196.16,1.1196635120925342,2.0106020974123544e-05,0.0037019159681407447,0.0018487533976401507,0.32167660470010523,17529484034.0,1.0,9726575.0
KO,42.305,80.21,0.6397429130023689,36.6201,80.84,1.0452641531733837,2.2439246334662544e-05,0.0036442054423122907,0.001769209881751138,0.3266573132234304,52297621141.0,1.0,18039332.0
DUK,83.84,128.631,0.4280376197238541,62.715,129.69,0.7988430343511449,1.5013595921550382e-05,0.003947367582799586,0.0020542994012528997,0.32188705717292176,12188311785.0,1.0,5500888.0
CMS,35.01,76.715,0.7844635214305948,31.385,76.74,1.2954870037132247,2.751538131985294e-05,0.004055583454139144,0.0021479057810315713,0.32679761487197473,9020018391.0,1.0,2101717.0
PG,90.6,163.35,0.5894409249981455,67.7675,180.23,1.2413079470198676,2.0674883374171567e-05,0.0036893898528067345,0.0018214727828993649,0.32150122763942474,28452204320.0,1.0,48956404.0
MDLZ,36.66,59.73,0.4881481643326556,34.02,78.35,1.2092198581560283,1.712199804740794e-05,0.004140075480158026,0.002100903956010867,0.3254647492108032,28677769996.0,1.0,13539250.0
D,77.34,63.66,-0.19465486432520443,39.51,90.415,0.6581975691750712,-6.827599590493267e-06,0.0043796562861793285,0.002242444161366208,0.3224131883549632,14694643450.0,0.9997544721150473,5747565.0
WEC,53.07,115.26,0.7755786491687167,45.04,117.94,1.373657433578293,2.7203740763509994e-05,0.0041238369897923614,0.0021636449951329684,0.324622939319537,6914928748.0,0.9999298491757278,3637337.0
XEL,36.05,83.43,0.8391010931830252,31.91,83.93,1.4429958391123443,2.94318166671831e-05,0.004118754234136908,0.002179258671077402,0.32620133286566116,12970572472.0,1.0,5538607.0
PPL,36.3901,38.26,0.05010820438411986,18.3,40.11,0.5993388311656193,1.7575659201667841e-06,0.004517052886992758,0.002255293240781417,0.33041038232199227,20005052633.0,1.0,11761920.0
LNT,33.345,71.235,0.7590764345849251,27.175,71.97,1.3433798170640276,2.6624918785804228e-05,0.0041143326134488725,0.0021773458862553393,0.32827078218169065,5973705857.0,1.0,2904903.0
SO,49.336,95.51,0.6605769163574545,41.61,100.62,1.1960839954597051,2.3170007588791646e-05,0.004053952626165384,0.0020794035725532236,0.32423710978604,18609491148.0,1.0,7192677.0
BNS,56.28,75.64,0.2956460115440685,32.16,78.02,0.8148542999289268,1.0369905701283016e-05,0.004298360149312975,0.0019974866686901143,0.33149772009821116,5216026420.0,1.0,5669207.0
JNJ,105.2,245.125,0.8459049842129007,90.55,246.9,1.486216730038023,2.967046594922275e-05,0.003646360788211625,0.0018230161734311677,0.32009821115398107,26803557092.0,0.9999298491757278,28769164.0
BDX,139.84,180.63,0.2559518282372407,129.75,286.41,1.120280320366133,8.977615862401323e-06,0.004750671526819101,0.002283136686847035,0.31767800771659066,5507143952.88,0.9999649245878639,3855972.0
AEP,61.02,132.4,0.7746259642143843,52.38,132.4,1.311373320222878,2.7170324946105704e-05,0.004153430422100603,0.0021646538697376962,0.3226587162399158,10916771332.0,1.0,7884614.0
MDT,72.295,96.87,0.2926149029582039,64.38,135.49,0.9836088249533165,1.026358831840906e-05,0.004597266475412533,0.00223067294469801,0.3214661522272887,21511673344.0,1.0,7812148.0
CHD,39.545,102.795,0.9552974497345161,38.545,115.57,1.9477810089771144,3.350745176194121e-05,0.004287732981650558,0.0021557091002765245,0.3246580147316731,6553632973.0,0.9995440196422308,2889886.0
MO,49.22,69.875,0.35040788651235333,31.24,77.73,0.9445347419748072,1.2290701035136021e-05,0.004523417634852585,0.0021793439499824957,0.32385128025254295,30540704204.0,1.0,24566412.0
MCD,94.84,333.1486,1.2563973754912403,88.81,335.39,2.5999578237030785,4.4068655752033395e-05,0.004015864809263115,0.0019041205498691062,0.31858996843212906,13920739167.0,1.0,7120277.0
HON,100.14,243.33,0.8878493398485643,91.64,245.15,1.5329538645895744,3.114168150992484e-05,0.004633207105556251,0.002206735910987798,0.3189056471413539,11526937289.97,1.0,6913579.0
O,48.31,65.94,0.31110665907726964,40.4,82.9,0.8797350445042436,1.091219428539819e-05,0.004897973789189335,0.0023387277222127285,0.3251139950894423,12278606380.0,0.9999649245878639,7063459.0
TD,47.163,97.2,0.7231610245889069,33.59,98.68,1.3801072874923141,2.5365170978175898e-05,0.004190027758692387,0.001984112269905743,0.32827078218169065,7411857755.0,0.9999649245878639,5648907.0
CLX,103.69,125.9025,0.19410211931235494,97.17,237.91,1.3573150737776065,6.808211831363235e-06,0.004669113696915547,0.0022796322281156546,0.31862504384426515,5010255603.0,0.9998947737635917,3634730.0
FE,39.15,50.73,0.2591170291417864,24.475,52.4,0.7132822477650064,9.088636588606617e-06,0.005178881174874602,0.002383100533820142,0.3285864608909155,16601080002.0,1.0,35691972.0
EXC,37.375,48.68,0.2642662364084759,25.11,57.94,0.8783946488294314,9.269247155659304e-06,0.005060963627480695,0.0024098019259649836,0.3287267625394598,25139956811.0,0.9999649245878639,20507740.0
AWK,53.71,133.31,0.9090780392082176,48.43,189.42,2.625023273133494,3.1886286889058814e-05,0.004372996714452183,0.002315652509097035,0.3208698702209751,4048397417.0,1.0,4966376.0
T,33.825,27.86,-0.19400820570519214,13.45,43.695,0.8941611234294161,-6.804917772871765e-06,0.004713645117314175,0.002177632452677035,0.33244475622588565,128666301153.0,0.9998947737635917,95602770.0
MRK,57.58,123.19,0.7605525937898528,48.185,134.24,1.494529350468913,2.667669567832069e-05,0.004517167989272599,0.002254489370456875,0.32283409330059626,38088269929.0,0.9997895475271834,39049764.0
SLF,36.09,65.27,0.5925166939924287,24.42,69.13,1.2388473261291213,2.0782767239255728e-05,0.004649118241772635,0.002212172394369109,0.33251490705015785,2378911957.0,0.9998947737635917,5986651.0
CPB,44.15,26.33,-0.5168839535417511,25.95,67.64,0.9442808607021518,-1.8129917696956253e-05,0.004923238331984793,0.002448355699715902,0.32679761487197473,11174147051.0,0.9998947737635917,13013740.0
BMY,59.84,61.365,0.02516530638324969,39.36,81.325,0.7012867647058824,8.826834929221478e-07,0.005138307449687678,0.002514771608077319,0.3225885654156436,40407331198.0,0.9998947737635917,25447256.0
THG,71.245,175.47,0.9013434468752919,68.08,187.47,1.675766720471612,3.1614992875287045e-05,0.004747602706507969,0.0024278015596533075,0.3203437390389337,890890595.0,1.0,376375.0
TRP,49.54,63.19,0.24336563672415035,28.5047,63.81,0.7126624949535729,8.536150007846215e-06,0.004983825289851001,0.0024336906388477495,0.3285513854787794,7163368701.0,0.9996492458786391,6978947.0
GIB,38.59,71.13,0.6115160131958962,34.36,122.54,2.285047939880798,2.144917619062468e-05,0.004517232257094762,0.0023215691395787022,0.32532444756225887,895988667.0,1.0,555018.0
ABT,45.22,114.545,0.9294282920354875,36.06,141.655,2.335139318885449,3.2600080394041345e-05,0.004589869829776992,0.00231094246314454,0.32311469659768505,23052895740.0,0.9987022097509646,22466264.0
ECL,104.7,305.445,1.0706706117940967,98.32,308.16,2.004202483285578,3.755421297065782e-05,0.0046334311297405156,0.002219075730498408,0.31883549631708175,4663726864.0,0.9999298491757278,9035015.0
YUM,72.79,165.59,0.8219362705242262,55.41,166.96,1.5324907267481798,2.8829753438212554e-05,0.00512720031242595,0.0022106824399182605,0.3213960014030165,9004218965.0,1.0,15762581.0
ENB,51.57,52.39,0.015775625357260764,22.8,54.39,0.612565445026178,5.533365611087892e-07,0.005088644180041119,0.0024098458403679587,0.3285163100666433,14980803146.0,0.9997193967029112,20565912.0
LMT,193.45,650.68,1.2129988887517307,185.55,668.57,2.4968725768932543,4.254643594357557e-05,0.0045034956231616375,0.0021661181131807385,0.31659066994037177,5335125503.0,0.9997193967029112,2940047.0
CME,88.55,308.41,1.2478627023561697,81.97,319.33,2.6805194805194805,4.3769298574371086e-05,0.004594364003932823,0.002294710389071888,0.31866011925640125,6532362417.0,1.0,2937270.0
HMC,29.64,30.11,0.015732542065756278,19.513,37.74,0.6149460188933873,5.518253969020786e-07,0.00496974825218922,0.0020519664514313156,0.34293230445457734,3531422949.0,0.9999298491757278,2186188.0
CMCSA,28.865,30.72,0.06228411976657456,26.215,61.75,1.2310756972111554,2.1846411703385822e-06,0.005038988114686441,0.002528755966628598,0.32423710978604,79707844292.0,0.9998947737635917,38700710.0
GD,138.465,344.44,0.9113023237177399,104.71,369.01,1.908785613692991,3.196430458496327e-05,0.004477351360275058,0.002245512421931499,0.3180287618379516,5215122020.0,1.0,2220807.0
DLB,43.38,64.3,0.39356112584484526,30.4,104.635,1.7112724757952975,1.3804318689726134e-05,0.005100890263916504,0.002435247922646956,0.32599088039284463,1724873235.0,0.9999649245878639,1459743.0
STZ,97.33,155.07,0.46576936143765535,96.7,273.205,1.8134696393712113,1.633705231277622e-05,0.005303867834050862,0.00247977831594003,0.3179235356015433,6007106160.0,0.9992283409330059,5144159.0
PFE,31.5847,27.085,-0.15369275701617793,21.14,61.26,1.2702352721412582,-5.390836794656601e-06,0.004707816808965233,0.0023726023677374973,0.328025254296738,108101417609.0,0.9999649245878639,74143100.0
MMM,164.56,165.62,0.00642076226085227,75.84,258.69,1.111144871171609,2.2521088252687645e-07,0.00494076881141281,0.002337656416433151,0.31876534549280955,11310697852.0,0.9999649245878639,13938797.0
CNP,23.51,43.36,0.6121114945794125,11.825,43.36,1.3413441088898341,2.1470062945543464e-05,0.005009089800854165,0.002447055235653783,0.3326902841108383,19428907179.0,1.0,12091322.0
WM,51.5,228.4,1.4895166701121647,46.26,242.07,3.802135922330097,5.2245411087710366e-05,0.0037056866245720695,0.0018320606791647973,0.3225534900035075,7108512348.0,1.0,2586920.0
NEE,26.61,94.96,1.2721686653118147,23.59,95.7,2.7098835024426906,4.4621840242338725e-05,0.004818125056268758,0.0024179081907120398,0.32072956857243073,32974120240.0,1.0,10786236.0
BMO,70.59,148.465,0.7434607488203747,38.51,148.78,1.5621192803513246,2.607719217185514e-05,0.004515964231289916,0.002065449743266133,0.32521922132585057,2712799746.0,1.0,4059547.0
PM,81.23,190.4,0.8518424852944023,56.85,190.41,1.6442201157207927,2.9878726246708487e-05,0.004622633323454666,0.002195905475685551,0.32164152928796913,18180285423.0,1.0,12795318.0
RY,68.91,173.82,0.9252189756401974,44.57,175.87,1.9053838339863594,3.24524368866817e-05,0.003965839227275597,0.0018973953105587233,0.32718344440547176,4417808414.0,1.0,6398017.0
TM,125.8,241.66,0.652838435332822,97.985,255.22,1.2498807631160573,2.289857717756616e-05,0.00456228410933859,0.0018964767129028826,0.32097509645738337,1121953997.0,1.0,982827.0
CAG,36.24,18.535,-0.6705026445720831,16.09,48.68,0.8992825607064018,-2.351815659661385e-05,0.005431456847105759,0.002497230373083541,0.33044545773412837,18303309570.0,0.9999298491757278,11269536.0
AMT,99.83,182.42,0.6028429814036784,83.16,303.64,2.2085545427226285,2.11449660260683e-05,0.004939117652125451,0.0025244762247345932,0.3182742897229042,8222103979.0,0.9999298491757278,5340160.0
ICE,43.6,160.04,1.3003666336340456,40.756,189.12,3.402844036697248,4.561089560267766e-05,0.004362841340218636,0.0021858834609675905,0.32062434233602244,11155978385.0,1.0,5447762.0
HD,104.52,375.23,1.2781607306393157,100.6,435.17,3.2010141599693847,4.4832014403318504e-05,0.004767373893680017,0.0023404030641633183,0.3175377060680463,15517801192.0,0.9994738688179586,6042456.0
AON,94.94,324.02,1.2275601291591,83.89,411.92,3.455129555508743,4.305717745206387e-05,0.004443102260052675,0.0021763026152003553,0.31869519466853735,4519570412.0,0.9997544721150473,3558653.0
QGEN,24.3363,48.66,0.6928882744982477,20.8108,57.89,1.5236169836828113,2.4303341792219816e-05,0.00557551670856192,0.0024347829227835266,0.33482988425113996,4607585354.0,1.0,7931767.0
ADP,83.76,213.28,0.9346502898681169,73.53,328.14,3.0397564469914036,3.2783244120215803e-05,0.004552508548415233,0.002202906682122991,0.3198877586811645,7145815813.0,1.0,8022255.0
DGX,68.92,207.62,1.1027630741053704,59.9188,212.22,2.2098258850841552,3.867986931267572e-05,0.004941505980315762,0.002407929866083068,0.3212556997544721,4568482225.0,1.0,7711915.0
AMGN,160.79,383.74,0.8698660741736328,131.02,384.27,1.575035760930406,3.0510911054831566e-05,0.00509057890648505,0.0025631457827775916,0.3170817257102771,10786174549.0,1.0,7814136.0
SYY,39.91,88.955,0.8015037048260962,26.66,91.27,1.6188925081433225,2.8113072775331588e-05,0.005664417769135293,0.002425082566008093,0.3246930901438092,12485777805.0,0.9998947737635917,16698742.0
UNP,118.59,263.165,0.7971090459085998,68.63,277.91,1.7647356438148243,2.795892830263554e-05,0.005025251322934233,0.0024863156281189408,0.3180638372500877,13539348672.0,1.0,8689340.0
TRV,106.37,303.42,1.0481944020563732,78.025,306.84,2.151123437059321,3.676585065085054e-05,0.004505936115536675,0.0021831228052797236,0.3204840406874781,5682647001.0,0.9999298491757278,1814374.0
CTSH,53.04,61.16,0.1424470351832544,40.73,93.14,0.9881221719457014,4.996388466607498e-06,0.005617441683811809,0.0025828375031676154,0.32300947036127675,14231501071.0,1.0,15529678.0
CM,42.81,100.81,0.8564658369089952,23.27,100.81,1.8112590516234526,3.0040892210018835e-05,0.0042732503165192155,0.0020026420431914944,0.32806032970887405,4333610298.0,1.0,6352601.0
