,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9094961043396581,0.9094960959766536,0.12646194271770947,0.23968498018193712,0.23446365609464254,0.24683293365317888,0.36110396420789176,0.6574864075369262,0.7533983473329394,0.43070124131110615,0.552521403363798
mse,0.9094961043396581,1.0,0.9999996012329587,0.1348627027482588,0.2553068496245853,0.2442749938883635,0.2542368633835649,0.35867365086695624,0.6561972117845309,0.7657183924989631,0.4187621435580871,0.5369959751268384
rmse,0.9094960959766536,0.9999996012329587,1.0,0.13486269615750765,0.255306850760712,0.24427498606986575,0.2542368475205603,0.3586736610022143,0.6561972145567844,0.765718377498963,0.41876214223958946,0.5369959843537164
direction_accuracy,0.12646194271770947,0.1348627027482588,0.13486269615750765,1.0,0.35312016801575463,0.33480879068878094,0.42550440709120296,0.17174196079246945,0.16140201394740472,0.13775229624903548,0.04158824291696461,0.10927891144364238
pearson_ic,0.23968498018193712,0.2553068496245853,0.255306850760712,0.35312016801575463,1.0,0.6802525038698334,0.6716282372473041,0.20021349284348253,0.24287126220454827,0.24265639363931243,0.20008739692303454,0.2001751704742014
spearman_rho,0.23446365609464254,0.2442749938883635,0.24427498606986575,0.33480879068878094,0.6802525038698334,1.0,0.5539621306632765,0.19996652991756123,0.23727012686303486,0.2342504081963269,0.19868804646601707,0.19920472923472926
cosine_similarity,0.24683293365317888,0.2542368633835649,0.2542368475205603,0.42550440709120296,0.6716282372473041,0.5539621306632765,1.0,0.21290364320836155,0.27929489736757535,0.24544438224498963,0.20026794018499516,0.18701786833448347
std_gap,0.36110396420789176,0.35867365086695624,0.3586736610022143,0.17174196079246945,0.20021349284348253,0.19996652991756123,0.21290364320836155,1.0,0.21430663004993655,0.3226173144758239,0.3030139181174766,0.3663931847668567
l1_divergence,0.6574864075369262,0.6561972117845309,0.6561972145567844,0.16140201394740472,0.24287126220454827,0.23727012686303486,0.27929489736757535,0.21430663004993655,1.0,0.6143501989548374,0.32204497268962673,0.29074432299525366
dwt_distance,0.7533983473329394,0.7657183924989631,0.765718377498963,0.13775229624903548,0.24265639363931243,0.2342504081963269,0.24544438224498963,0.3226173144758239,0.6143501989548374,1.0,0.4058943767249227,0.5092735757105915
kl_divergence,0.43070124131110615,0.4187621435580871,0.41876214223958946,0.04158824291696461,0.20008739692303454,0.19868804646601707,0.20026794018499516,0.3030139181174766,0.32204497268962673,0.4058943767249227,1.0,0.506138189245972
wasserstein,0.552521403363798,0.5369959751268384,0.5369959843537164,0.10927891144364238,0.2001751704742014,0.19920472923472926,0.18701786833448347,0.3663931847668567,0.29074432299525366,0.5092735757105915,0.506138189245972,1.0
