,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9830531679590998,0.9829148498900793,-0.2106815487912834,-0.5791850535263935,-0.5301311125172311,-0.5849140603635384,-0.07214244781966163,0.8599758551423187,0.8937631379546351,0.36408617571065505,0.38078303922620715
mse,0.9830531679590998,1.0,0.9980689693362046,-0.2210547692638952,-0.5966137847043752,-0.5420444284382911,-0.6014060653642598,-0.07358706268605303,0.8503415596686262,0.8901367450658975,0.3443218259102716,0.37100088637982526
rmse,0.9829148498900793,0.9980689693362046,1.0,-0.2210389821301159,-0.6004681293944968,-0.5459654356859098,-0.6057922310000253,-0.09001201127938455,0.8508129297904551,0.8928968834153772,0.339986082399093,0.36666644617965205
direction_accuracy,-0.2106815487912834,-0.2210547692638952,-0.22103898213011589,1.0,0.6425492178368427,0.5557542189045157,0.6501843387924151,-0.06844738050714237,-0.2516011034476498,-0.14890196574064019,0.1804737513326393,0.10396726359039965
pearson_ic,-0.5791850535263936,-0.5966137847043753,-0.6004681293944968,0.6425492178368427,1.0,0.8875868446281101,0.9918747330011193,-1.814953679870354e-11,-0.5978040504891305,-0.48455363524439415,2.9359169336287925e-10,5.18955452563017e-10
spearman_rho,-0.5301311125172311,-0.5420444284382911,-0.5459654356859098,0.5557542189045157,0.8875868446281101,1.0,0.8817408840366259,-0.008613107246997768,-0.5504917702723494,-0.4388282720229107,-0.01948352372885491,-0.011806771039391425
cosine_similarity,-0.5849140603635384,-0.6014060653642598,-0.6057922310000253,0.6501843387924151,0.9918747330011193,0.8817408840366259,1.0,7.546465809478325e-05,-0.5999314723907997,-0.48933098591542873,-0.0003998502162452996,-0.0018259276385771868
std_gap,-0.07214244781966163,-0.07358706268605303,-0.09001201127938452,-0.06844738050714237,-1.8149536798703544e-11,-0.008613107246997768,7.546465809478325e-05,1.0,-0.17614614267654305,-0.08586122318774807,0.15386867907657392,0.36885292322657653
l1_divergence,0.8599758551423187,0.8503415596686261,0.850812929790455,-0.25160110344764985,-0.5978040504891305,-0.5504917702723494,-0.5999314723907997,-0.17614614267654305,1.0,0.7483016850879841,0.20577333057939778,-0.09780573750958048
dwt_distance,0.8937631379546351,0.8901367450658975,0.8928968834153772,-0.14890196574064019,-0.48455363524439415,-0.4388282720229107,-0.48933098591542873,-0.08586122318774807,0.7483016850879841,1.0,0.33465619656500417,0.37816108349674954
kl_divergence,0.36408617571065505,0.3443218259102716,0.339986082399093,0.18047375133263927,2.9359169336287925e-10,-0.01948352372885491,-0.0003998502162452996,0.15386867907657392,0.20577333057939778,0.33465619656500417,1.0,0.47447869617471505
wasserstein,0.38078303922620715,0.37100088637982526,0.36666644617965205,0.10396726359039965,5.18955452563017e-10,-0.011806771039391425,-0.0018259276385771872,0.36885292322657653,-0.09780573750958048,0.37816108349674954,0.47447869617471505,1.0
