,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.9838603571661024,0.9840784247113759,0.349277262739827,-0.10588490211324583,-0.09035645728589944,-0.09836299049089936,0.470793370522876,0.7726394178976164,0.912130594079246,0.5693987190591865,0.6703706930560256
mse,0.9838603571661024,1.0,0.9988859683235907,0.3078921426786542,-0.13674047701386857,-0.11339622663793884,-0.11052345493190938,0.4723336102360877,0.7640664272405597,0.9149601875867198,0.5328450160029992,0.6593148423018625
rmse,0.9840784247113759,0.9988859683235907,1.0,0.3117079146175136,-0.13651610528825275,-0.11335765113290662,-0.11080905138315304,0.45278094235547633,0.7681292970412765,0.9168328529088607,0.528840678803164,0.6508795038415067
direction_accuracy,0.349277262739827,0.3078921426786542,0.3117079146175136,1.0,0.1672100333519255,0.1404447627649358,0.24976527308768973,0.13215928884282474,0.2630087048772539,0.29499072275560834,0.3871193390716535,0.24839935688100767
pearson_ic,-0.10588490211324583,-0.13674047701386857,-0.13651610528825275,0.16721003335192552,1.0,0.8239485994922593,0.772115690766541,6.407258230986996e-11,-0.11632940065258017,-0.10206554145013343,-1.4431794373965607e-10,6.336785802348959e-10
spearman_rho,-0.09035645728589944,-0.11339622663793884,-0.11335765113290665,0.1404447627649358,0.8239485994922593,1.0,0.6555205441337445,0.001241821744764548,-0.1027054278846688,-0.08404459834416476,0.002846751445276542,0.003661005952629058
cosine_similarity,-0.09836299049089936,-0.11052345493190938,-0.11080905138315304,0.24976527308768973,0.772115690766541,0.6555205441337445,1.0,-0.004872656181675246,-0.09848878935198215,-0.09546449830971182,-0.008827253128060777,-0.011216216225690436
std_gap,0.470793370522876,0.4723336102360877,0.45278094235547633,0.13215928884282474,6.407258230986996e-11,0.001241821744764548,-0.004872656181675246,1.0,0.4825853845215654,0.4158097850398347,0.365228843461746,0.33167388800218667
l1_divergence,0.7726394178976164,0.7640664272405597,0.7681292970412765,0.2630087048772539,-0.11632940065258017,-0.10270542788466881,-0.09848878935198215,0.4825853845215654,1.0,0.7119817406410928,0.37263788464173153,0.08343015408095807
dwt_distance,0.912130594079246,0.9149601875867198,0.9168328529088607,0.29499072275560834,-0.10206554145013343,-0.08404459834416476,-0.09546449830971182,0.4158097850398347,0.7119817406410928,1.0,0.4937765244894428,0.606279847589292
kl_divergence,0.5693987190591865,0.5328450160029992,0.528840678803164,0.3871193390716535,-1.4431794373965607e-10,0.002846751445276542,-0.008827253128060777,0.365228843461746,0.37263788464173153,0.493776524489443,1.0,0.5405271831258941
wasserstein,0.6703706930560255,0.6593148423018625,0.6508795038415066,0.24839935688100767,6.336785802348957e-10,0.003661005952629059,-0.011216216225690434,0.33167388800218667,0.08343015408095807,0.606279847589292,0.5405271831258941,1.0
