,mae,mse,rmse,direction_accuracy,pearson_ic,spearman_rho,cosine_similarity,std_gap,l1_divergence,dwt_distance,kl_divergence,wasserstein
mae,1.0,0.918875036010753,0.9188750305569974,0.33528271718995206,0.5222478606209996,0.4901592776253729,0.5319988891288907,0.15238505268615518,0.7203518315122964,0.7448998932289306,0.32841332567399617,0.3194279018424639
mse,0.918875036010753,1.0,0.9999997340924885,0.33769325256866956,0.5326118423738384,0.4962886362102552,0.5424929784219141,0.15293873293189936,0.7130676091934872,0.7486565576186276,0.32182222857639464,0.31227355503827575
rmse,0.9188750305569974,0.9999997340924885,1.0,0.3376932725686696,0.5326118569200827,0.49628863075649954,0.5424929879681585,0.15293871793189934,0.7130676546472428,0.7486565430723833,0.3218222331226389,0.31227354958452
direction_accuracy,0.33528271718995206,0.33769325256866956,0.3376932725686696,1.0,0.5673712142539229,0.5037158846515946,0.5743391013936456,0.20681644736229837,0.3302697631540804,0.3025715900935986,0.11771076778342712,0.1632195207675756
pearson_ic,0.5222478606209996,0.5326118423738384,0.5326118569200827,0.5673712142539229,1.0,0.7790624582441265,0.9330273936380725,0.20014978921768278,0.5383024447847626,0.4584377513705602,0.200102249427132,0.1997946792036607
spearman_rho,0.4901592776253729,0.4962886362102552,0.49628863075649954,0.5037158846515946,0.7790624582441265,1.0,0.7687145598405434,0.20141831044262337,0.5024657243996931,0.42690548608686085,0.20630735909789813,0.20397931750471643
cosine_similarity,0.5319988891288907,0.5424929784219141,0.5424929879681585,0.5743391013936456,0.9330273936380725,0.7687145598405434,1.0,0.20765791199031766,0.49857737841072264,0.4672596985522799,0.21087350700744806,0.2238097175686773
std_gap,0.15238505268615518,0.15293873293189936,0.15293871793189934,0.20681644736229837,0.20014978921768278,0.20141831044262337,0.20765791199031766,1.0,0.11366743187619295,0.15627259849561764,0.221693238596761,0.31992391015433147
l1_divergence,0.7203518315122964,0.7130676091934872,0.7130676546472428,0.3302697631540804,0.5383024447847626,0.5024657243996931,0.49857737841072264,0.11366743187619295,1.0,0.6384021863674358,0.2519696426378557,0.1775754775906207
dwt_distance,0.7448998932289306,0.7486565576186276,0.7486565430723833,0.3025715900935986,0.4584377513705602,0.42690548608686085,0.4672596985522799,0.15627259849561764,0.6384021863674358,1.0,0.3197746010956946,0.312149479657854
kl_divergence,0.32841332567399617,0.32182222857639464,0.3218222331226389,0.11771076778342712,0.200102249427132,0.20630735909789813,0.21087350700744806,0.221693238596761,0.2519696426378557,0.3197746010956946,1.0,0.47150250778039804
wasserstein,0.3194279018424639,0.31227355503827575,0.31227354958452,0.1632195207675756,0.1997946792036607,0.20397931750471643,0.2238097175686773,0.31992391015433147,0.1775754775906207,0.312149479657854,0.47150250778039804,1.0
